name,uuid
"SOUTH CAROLINA, UNIVERSITY OF",137
"SOUTH DAKOTA, UNIVERSITY OF",138
SOUTH TEXAS COLLEGE OF LAW HOUSTON,145
"SOUTHERN CALIFORNIA, UNIVERSITY OF",12
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,43
SOUTHERN METHODIST UNIVERSITY,143
SOUTHERN UNIVERSITY,63
SOUTHWESTERN LAW SCHOOL,11
ST. JOHN'S UNIVERSITY,106
ST. MARY'S UNIVERSITY,148
ST. THOMAS UNIVERSITY (FLORIDA),177
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",194
STANFORD UNIVERSITY,21
STETSON UNIVERSITY,35
SUFFOLK UNIVERSITY,72
SYRACUSE UNIVERSITY,107
TEMPLE UNIVERSITY,129
"TENNESSEE, UNIVERSITY OF",139
TEXAS A&M UNIVERSITY,182
"TEXAS AT AUSTIN, UNIVERSITY OF",142
TEXAS SOUTHERN UNIVERSITY,146
TEXAS TECH UNIVERSITY,147
THOMAS JEFFERSON SCHOOL OF LAW,185
THOMAS M. COOLEY LAW SCHOOL,80
"TOLEDO, UNIVERSITY OF",120
TOURO COLLEGE,174
TULANE UNIVERSITY,65
"TULSA, UNIVERSITY OF",124
UNIVERSITY OF BUFFALO-SUNY,98
UNIVERSITY OF LA VERNE,198
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,216
UNIVERSITY OF NEVADA - LAS VEGAS,190
"UTAH, UNIVERSITY OF",151
VALPARAISO UNIVERSITY,54
VANDERBILT UNIVERSITY,141
VERMONT LAW SCHOOL,152
VILLANOVA UNIVERSITY,133
"VIRGINIA, UNIVERSITY OF",153
WAKE FOREST UNIVERSITY,111
WASHBURN UNIVERSITY,58
WASHINGTON AND LEE UNIVERSITY,155
WASHINGTON UNIVERSITY,88
"WASHINGTON, UNIVERSITY OF",158
WAYNE STATE UNIVERSITY,79
WEST VIRGINIA UNIVERSITY,161
WESTERN NEW ENGLAND UNIVERSITY,75
WESTERN STATE COLLEGE OF LAW,188
WHITTIER LAW SCHOOL,167
WIDENER UNIVERSITY-DELAWARE,26
WIDENER-COMMONWEALTH,179
WILLAMETTE UNIVERSITY,127
WILLIAM AND MARY LAW SCHOOL,157
WILLIAM MITCHELL COLLEGE OF LAW,82
"WISCONSIN, UNIVERSITY OF",162
"WYOMING, UNIVERSITY OF",164
YALE UNIVERSITY,25
