university,yr,Number Employed,Employed Long Term,Employed Short Term,Purs Grad Deg FT,Unempl Not Seek,Unemployed Seek,Emp Status Unk,Total Graduates,Law Schl Funded,Law Schl Funded LT,Law Schl Funded ST,Emp Solo ,Emp Solo LT,Emp Solo ST,Emp 2-10,Emp 2-10 LT,Emp 2-10 ST,Emp 11-25,Emp 11-25 LT,Emp 11-25 ST,Emp 26-50,Emp 26-50 LT,Emp 36-50 ST,Emp 51-100,Emp 51-100 LT,Emp 51-100 ST,Emp 101-250,Emp 101-250 LT,Emp 101-250 ST,Emp 251-500,Emp 251-500 LT,Emp 251-500 ST,Emp 501+,Emp 501+ LT,Emp 501+ ST,Emp Type Unk,Emp Type Unk LT,Emp Type ST ,Bus & Ind,Bus & Ind LT,Bus & Ind ST,Government,Government LT,Government ST,Public Interest,Public Interest LT,Public Interest ST,Federal,Federal LT,Federal ST,State & local,State & local LT,State & local ST,Academia,Academia LT,Academia ST,Emp Type Unk,Tot Emp Type,Tot Emp Type LT,Tot Emp Type ST,State 1 Lrgst Emp,State 1 Lrgst Emp Num,State 2 Lrgst Emp,State 2 Lrgst Emp Num,State 3 Lrgst Emp,State 3 Lrgst Emp Num,Emp Forgn Countries
"HOUSTON, UNIVERSITY OF",2011,261,255,6,5,10,6,2,284,5,1,4,14,14,0,47,47,0,29,29,0,13,13,0,9,9,0,4,4,0,14,14,0,20,20,0,0,0,0,60,60,0,24,22,2,11,8,3,7,7,0,4,4,0,5,4,1,0,261,255,6,Texas,245,District of Columbia,6,California,2,1
HOWARD UNIVERSITY,2011,114,100,12,0,1,9,9,133,0,0,0,2,2,0,9,6,2,2,2,0,1,1,0,1,1,0,3,3,0,6,6,0,12,12,0,0,0,0,12,6,6,30,29,1,9,7,2,4,4,0,18,17,1,4,4,0,1,114,100,12,District of Columbia,42,New York,18,Virginia,11,1
"IDAHO, UNIVERSITY OF",2011,71,58,6,2,8,8,5,94,0,0,0,7,7,0,16,13,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,10,9,0,3,3,0,2,2,0,14,14,0,3,0,1,0,71,58,6,Idaho,47,Washington,12,Alaska,2,0
ILLINOIS INSTITUTE OF TECHNOLOGY,2011,244,216,27,6,5,9,5,269,19,1,18,7,7,0,61,55,5,17,17,0,10,10,0,7,7,0,8,8,0,7,7,0,15,15,0,0,0,0,51,47,4,24,24,0,12,9,3,4,2,2,3,3,0,18,5,13,0,244,216,27,Illinois,210,District of Columbia,6,California,4,0
"ILLINOIS, UNIVERSITY OF",2011,170,145,24,7,0,13,5,195,20,9,11,1,1,0,27,22,4,6,6,0,6,6,0,8,7,1,6,6,0,9,9,0,30,29,1,0,0,0,21,14,7,29,20,9,7,7,0,7,7,0,4,4,0,9,7,2,0,170,145,24,Illinois,123,California,8,District of Columbia,6,4
INDIANA UNIVERSITY - BLOOMINGTON,2011,170,146,24,8,11,1,5,195,8,0,8,6,4,2,30,25,5,6,6,0,7,7,0,3,3,0,9,9,0,7,6,1,6,6,0,4,4,0,27,20,7,29,28,1,13,10,3,5,5,0,7,7,0,11,6,5,0,170,146,24,Indiana,63,Illinois,14,District of Columbia,12,5
INDIANA UNIVERSITY - INDIANAPOLIS,2011,261,230,18,4,1,19,14,299,3,2,1,7,7,0,48,44,1,22,22,0,8,7,1,0,0,0,6,6,0,12,12,0,2,2,0,21,11,4,54,46,6,47,44,2,17,14,2,3,3,0,10,10,0,4,2,2,0,261,230,18,Indiana,215,Illinois,9,California,3,2
INTER AMERICAN UNIVERSITY OF PUERTO RICO,2011,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Puerto Rico,1,,0,,0,0
"IOWA, UNIVERSITY OF",2011,192,159,31,12,3,5,0,212,0,0,0,2,2,0,38,33,5,10,9,1,6,5,1,5,5,0,12,12,0,8,8,0,15,15,0,7,5,2,40,25,15,26,22,4,6,4,2,6,6,0,8,8,0,1,0,1,2,192,159,31,Iowa,59,Illinois,24,District of Columbia,12,4
JOHN MARSHALL LAW SCHOOL,2011,337,278,59,3,2,33,9,384,26,6,20,15,15,0,97,87,10,23,20,3,9,9,0,6,5,1,7,7,0,2,2,0,9,9,0,0,0,0,79,63,16,60,41,19,8,7,1,4,4,0,2,2,0,16,7,9,0,337,278,59,Illinois,291,Virginia,6,District of Columbia,4,5
JUDGE ADVOCATE GENERAL'S SCHOOL,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0
"KANSAS, UNIVERSITY OF",2011,131,112,15,10,8,16,3,168,1,0,1,6,6,0,29,27,1,15,13,2,4,4,0,4,4,0,3,2,1,6,6,0,10,10,0,0,0,0,13,8,3,23,20,3,10,6,4,1,1,0,2,2,0,4,3,1,1,131,112,15,Kansas,58,Missouri,27,District of Columbia,7,2
"KENTUCKY, UNIVERSITY OF",2011,113,102,11,1,3,1,2,120,0,0,0,5,3,2,26,26,0,6,6,0,3,3,0,0,0,0,7,7,0,3,3,0,2,2,0,1,1,0,12,4,8,10,10,0,6,5,1,11,11,0,19,19,0,2,2,0,0,113,102,11,Kentucky,86,Tennessee,5,District of Columbia,3,1
LEWIS AND CLARK COLLEGE,2011,171,136,35,4,5,10,10,200,23,1,22,8,7,1,41,38,3,9,9,0,6,6,0,0,0,0,2,2,0,1,1,0,0,0,0,2,1,1,27,21,6,25,23,2,11,6,5,3,3,0,20,18,2,16,1,15,0,171,136,35,Oregon,118,Washington,14,California,8,0
LIBERTY UNIVERSITY,2011,38,34,4,0,2,9,8,57,1,1,0,1,1,0,13,13,0,3,0,3,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,8,8,0,2,2,0,0,0,0,2,2,0,2,2,0,1,38,34,3,Virginia,15,Colorado,1,Florida,1,0
LOUISIANA STATE UNIVERSITY,2011,160,155,5,5,2,7,3,177,0,0,0,5,5,0,44,42,2,30,30,0,8,8,0,5,5,0,2,2,0,2,2,0,3,3,0,0,0,0,13,12,1,16,16,0,3,2,1,2,2,0,27,26,1,0,0,0,0,160,155,5,Louisiana,133,Texas,9,District of Columbia,3,0
"LOUISVILLE, UNIVERSITY OF",2011,123,114,8,1,0,6,3,133,0,0,0,12,12,0,34,29,4,7,6,1,1,1,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,22,20,2,19,18,1,10,10,0,2,2,0,3,3,0,6,6,0,0,123,114,8,Kentucky,98,Virginia,5,Indiana,3,1
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,2011,365,235,129,3,10,9,1,388,16,0,16,7,7,0,106,73,32,28,24,4,20,15,5,11,11,0,5,5,0,6,6,0,26,25,1,2,0,2,54,37,17,15,9,6,52,9,43,8,8,0,6,5,1,19,1,18,0,365,235,129,California,348,Louisiana,2,New York,2,3
LOYOLA UNIVERSITY-CHICAGO,2011,236,181,48,9,6,12,3,266,3,0,3,2,1,1,60,46,11,12,11,1,3,3,0,9,8,1,11,10,1,8,8,0,11,11,0,4,0,3,53,38,15,25,17,7,14,8,4,7,7,0,10,10,0,7,3,4,0,236,181,48,Illinois,182,California,12,Michigan,6,3
LOYOLA UNIVERSITY-NEW ORLEANS,2011,221,218,3,16,13,4,18,272,0,0,0,16,16,0,61,61,0,26,25,1,15,15,0,9,9,0,2,2,0,6,6,0,0,0,0,0,0,0,30,29,1,24,24,0,9,9,0,5,5,0,15,14,1,2,2,0,1,221,217,3,Louisiana,176,Texas,10,Florida,6,0
"MAINE, UNIVERSITY OF",2011,66,52,14,3,1,12,0,82,0,0,0,3,3,0,20,16,4,1,1,0,2,2,0,1,1,0,1,1,0,0,0,0,3,3,0,0,0,0,17,10,7,6,5,1,4,3,1,0,0,0,8,7,1,0,0,0,0,66,52,14,Maine,46,New Jersey,4,District of Columbia,3,1
MARQUETTE UNIVERSITY,2011,205,173,31,1,1,23,4,234,0,0,0,10,6,4,68,61,7,15,14,1,8,8,0,4,3,1,11,11,0,3,3,0,1,1,0,1,1,0,43,31,11,24,23,1,9,6,3,2,0,2,3,2,1,2,2,0,0,204,172,31,Wisconsin,156,Illinois,16,Minnesota,4,0
"MARYLAND, UNIVERSITY OF",2011,264,229,35,5,9,1,4,283,20,4,16,1,1,0,42,33,9,5,4,1,4,4,0,6,5,1,10,10,0,10,10,0,15,15,0,3,2,1,38,24,14,61,57,4,26,21,5,7,7,0,29,29,0,6,6,0,1,264,228,35,Maryland,168,District of Columbia,51,Virginia,9,5
MCGEORGE SCHOOL OF LAW,2011,260,124,127,7,25,8,8,308,54,0,54,6,4,1,71,43,23,17,15,2,12,10,1,3,2,1,4,4,0,2,2,0,2,1,1,0,0,0,40,17,22,55,17,38,40,6,33,1,1,0,2,1,1,3,0,3,2,260,123,126,California,226,District of Columbia,3,Nevada,3,2
"MEMPHIS, UNIVERSITY OF",2011,90,71,19,2,1,12,0,105,3,0,3,5,3,2,33,32,1,8,8,0,4,4,0,2,2,0,3,3,0,2,2,0,0,0,0,1,0,1,4,3,1,7,7,0,3,2,1,5,1,4,5,0,5,4,1,3,4,90,68,18,Tennessee,84,Georgia,2,Florida,1,0
MERCER UNIVERSITY,2011,116,102,14,8,5,7,4,140,0,0,0,1,1,0,36,33,3,11,11,0,4,4,0,4,4,0,3,3,0,0,0,0,9,5,4,3,0,3,6,5,1,16,15,1,8,7,1,4,4,0,10,10,0,0,0,0,1,116,102,13,Georgia,96,Florida,4,District of Columbia,3,1
"MIAMI, UNIVERSITY OF",2011,386,318,66,19,6,10,41,462,35,4,31,7,7,0,42,38,3,24,22,2,5,5,0,6,6,0,4,4,0,7,7,0,14,14,0,113,103,10,41,35,6,50,39,10,42,20,22,8,4,4,15,6,9,5,5,0,3,386,315,66,Florida,260,New York,19,District of Columbia,18,6
MICHIGAN STATE UNIVERSITY,2011,305,253,45,16,2,9,16,348,37,8,29,12,12,0,78,77,1,11,11,0,5,5,0,8,8,0,8,8,0,4,4,0,2,2,0,9,9,0,63,45,17,26,26,0,24,11,12,7,7,0,14,14,0,29,14,15,5,305,253,45,Michigan,165,Illinois,16,Indiana,9,9
"MICHIGAN, UNIVERSITY OF",2011,345,338,7,12,9,5,3,374,7,0,7,1,1,0,8,8,0,7,7,0,4,4,0,6,6,0,21,21,0,32,32,0,130,130,0,12,12,0,18,18,0,30,29,1,32,27,5,28,28,0,10,9,1,4,4,0,2,345,336,7,New York,80,California,43,Illinois,42,11
"MINNESOTA, UNIVERSITY OF",2011,261,191,52,8,12,3,0,284,40,7,33,2,2,0,36,34,1,8,8,0,6,6,0,4,4,0,14,13,1,7,7,0,22,22,0,5,4,1,42,28,13,29,20,9,28,7,21,15,14,1,24,20,4,3,2,1,16,261,191,52,Minnesota,169,New York,15,District of Columbia,14,3
MISSISSIPPI COLLEGE,2011,135,129,3,7,0,22,7,171,2,2,0,10,10,0,41,41,0,8,8,0,4,4,0,9,9,0,2,2,0,1,1,0,2,2,0,0,0,0,17,16,1,14,14,0,5,5,0,2,2,0,14,13,1,1,1,0,5,135,128,2,Mississippi,89,Tennessee,13,Texas,5,0
"MISSISSIPPI, UNIVERSITY OF",2011,107,97,7,16,0,21,18,162,1,0,1,11,11,0,19,18,1,7,7,0,8,8,0,5,5,0,5,5,0,1,1,0,0,0,0,2,0,2,11,11,0,12,12,0,1,1,0,5,5,0,13,11,2,0,0,0,6,106,95,5,Mississippi,63,Tennessee,11,Georgia,6,0
MISSOURI UNIVERSITY OF,2011,116,114,2,8,8,9,1,142,2,2,0,4,4,0,26,26,0,9,9,0,3,3,0,1,1,0,1,1,0,3,3,0,3,3,0,8,8,0,22,20,2,17,17,0,8,8,0,0,0,0,6,6,0,3,3,0,2,116,112,2,Missouri,103,Illinois,4,New York,2,0
"MISSOURI-KANSAS CITY, UNIVERSITY OF",2011,104,86,18,0,0,40,0,144,0,0,0,12,12,0,29,25,4,8,8,0,4,4,0,2,2,0,4,4,0,3,3,0,0,0,0,0,0,0,11,4,7,10,10,0,0,0,0,0,0,0,15,8,7,2,2,0,4,104,82,18,Missouri,81,Kansas,10,Virginia,2,3
"MONTANA, UNIVERSITY OF",2011,59,53,4,8,1,5,4,77,0,0,0,3,2,1,12,12,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,3,1,2,4,4,0,2,1,0,7,7,0,9,9,0,0,0,0,2,59,52,4,Montana,49,California,2,Alaska,2,0
"NEBRASKA, UNIVERSITY OF",2011,99,92,1,5,0,12,6,122,2,2,0,0,0,0,39,39,0,4,4,0,3,3,0,3,3,0,1,1,0,3,3,0,0,0,0,1,0,0,17,13,0,15,15,0,2,1,1,2,2,0,5,5,0,3,3,0,1,99,92,1,Nebraska,78,Arizona,3,District of Columbia,3,1
NEW ENGLAND LAW | BOSTON,2011,209,186,18,12,2,40,29,292,1,1,0,11,11,0,60,55,4,11,11,0,4,4,0,4,4,0,3,3,0,2,2,0,0,0,0,8,8,0,60,47,12,24,24,0,9,7,1,0,0,0,5,5,0,5,4,0,3,209,185,17,Massachusetts,133,New York,11,Rhode Island,7,0
"NEW MEXICO, UNIVERSITY OF",2011,84,59,25,2,6,0,0,92,5,1,4,4,4,0,27,19,8,3,3,0,5,5,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,16,16,0,8,7,1,1,0,1,11,0,11,4,1,3,0,84,59,25,New Mexico,73,District of Columbia,3,Colorado,2,0
NEW YORK LAW SCHOOL,2011,407,326,73,13,14,23,24,481,29,5,24,2,2,0,101,85,15,12,12,0,11,9,2,7,7,0,4,3,1,4,4,0,27,26,1,8,4,4,109,89,19,67,46,21,15,9,6,2,2,0,10,10,0,10,9,1,18,407,317,70,New York,311,New Jersey,31,unknown,26,3
NEW YORK UNIVERSITY,2011,480,467,13,6,9,2,0,497,22,9,13,0,0,0,8,8,0,5,5,0,0,0,0,2,2,0,11,11,0,30,30,0,240,240,0,0,0,0,14,14,0,36,33,3,68,58,10,51,51,0,12,12,0,3,3,0,0,480,467,13,New York,307,California,43,District of Columbia,28,11
NORTH CAROLINA CENTRAL UNIVERSITY,2011,111,91,13,4,1,8,44,168,1,0,1,10,8,0,24,22,2,2,2,0,3,3,0,1,1,0,2,2,0,1,1,0,1,1,0,3,3,0,20,18,1,24,21,2,6,5,1,1,0,1,1,0,1,1,0,1,11,111,87,9,North Carolina,78,District of Columbia,6,Georgia,5,1
"NORTH CAROLINA, UNIVERSITY OF",2011,203,203,0,4,12,11,9,239,2,2,0,3,3,0,41,41,0,2,2,0,7,7,0,7,7,0,5,5,0,4,4,0,26,26,0,4,4,0,27,27,0,21,21,0,21,21,0,17,17,0,14,14,0,3,3,0,1,203,202,0,North Carolina,108,District of Columbia,17,New York,16,2
"NORTH DAKOTA, UNIVERSITY OF",2011,64,60,3,2,3,3,1,73,1,1,0,5,5,0,20,20,0,5,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,6,6,0,3,3,0,0,0,0,9,9,0,1,1,0,1,64,60,3,North Dakota,45,Minnesota,4,Texas,2,1
NORTHEASTERN UNIVERSITY,2011,167,116,51,5,4,11,6,193,17,0,17,6,3,3,27,18,9,5,3,2,5,5,0,3,2,1,3,3,0,1,1,0,12,12,0,0,0,0,26,13,13,19,15,4,36,30,6,2,2,0,9,8,1,13,1,12,0,167,116,51,Massachusetts,122,New York,12,California,8,1
NORTHERN ILLINOIS UNIVERSITY,2011,75,62,13,3,7,7,7,99,3,1,2,3,3,0,21,19,2,3,2,1,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,16,13,3,16,14,2,7,5,2,0,0,0,1,1,0,4,1,3,0,75,62,13,Illinois,71,Wisconsin,2,New York,1,0
NORTHERN KENTUCKY UNIVERSITY,2011,131,107,9,0,2,11,5,149,1,1,0,10,2,0,39,33,4,11,11,0,3,3,0,3,3,0,3,3,0,1,1,0,0,0,0,1,0,1,29,23,2,7,6,0,7,7,0,1,1,0,9,9,0,7,5,2,0,131,107,9,Kentucky,69,Ohio,46,Indiana,7,0
NORTHWESTERN UNIVERSITY,2011,268,251,17,6,3,5,3,285,10,2,8,0,0,0,5,5,0,1,1,0,3,3,0,8,8,0,13,13,0,21,21,0,115,115,0,0,0,0,33,26,7,12,11,1,17,16,1,23,23,0,6,6,0,10,2,8,1,268,250,17,Illinois,120,New York,37,California,29,10
"NOTRE DAME, UNIVERSITY OF",2011,157,134,23,5,8,0,2,172,25,2,23,0,0,0,7,7,0,7,7,0,8,8,0,3,3,0,7,7,0,10,10,0,31,31,0,4,4,0,17,17,0,29,23,6,10,3,7,8,7,1,13,4,9,3,3,0,0,157,134,23,Illinois,29,California,22,New York,20,1
NOVA SOUTHEASTERN UNIVERSITY,2011,221,170,51,13,10,30,5,279,0,0,0,2,2,0,84,60,24,27,19,8,11,11,0,8,8,0,7,7,0,1,1,0,3,3,0,0,0,0,40,26,14,18,17,1,13,10,3,0,0,0,2,2,0,5,4,1,0,221,170,51,Florida,195,New York,7,Georgia,3,1
OHIO NORTHERN UNIVERSITY,2011,75,70,5,5,0,5,15,100,2,2,0,3,3,0,22,22,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14,14,0,7,6,1,16,15,1,1,1,0,1,0,1,1,0,1,2,1,1,5,75,65,5,Ohio,36,New York,6,Pennsylvania,6,0
OHIO STATE UNIVERSITY,2011,179,150,29,9,13,1,0,202,17,4,13,3,3,0,23,23,0,7,6,1,8,8,0,4,4,0,4,4,0,7,7,0,14,14,0,4,3,1,36,27,9,39,34,5,6,1,5,7,7,0,3,3,0,14,6,8,0,179,150,29,Ohio,109,District of Columbia,11,Illinois,9,3
OKLAHOMA CITY UNIVERSITY,2011,135,110,21,2,11,11,0,159,1,1,0,11,10,1,62,55,7,6,5,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,26,20,3,15,12,3,2,0,2,1,1,0,0,0,0,4,2,2,1,135,110,20,Oklahoma,94,Texas,23,Missouri,4,3
"OKLAHOMA, UNIVERSITY OF",2011,148,138,10,4,7,18,0,177,3,3,0,9,9,0,45,42,3,13,12,1,2,2,0,4,4,0,9,9,0,0,0,0,2,2,0,3,2,1,28,26,2,20,17,3,4,4,0,5,5,0,2,2,0,1,1,0,1,148,137,10,Oklahoma,111,Texas,14,District of Columbia,4,0
"OREGON, UNIVERSITY OF",2011,142,114,28,6,1,22,11,182,11,0,11,11,7,4,31,28,3,4,4,0,0,0,0,2,2,0,3,2,1,1,1,0,1,1,0,1,0,1,21,16,5,16,12,4,21,12,9,4,4,0,24,24,0,2,1,1,0,142,114,28,Oregon,85,California,14,Washington,12,1
PACE UNIVERSITY,2011,162,112,45,8,20,14,19,223,22,2,20,2,2,0,39,32,6,6,6,0,1,1,0,6,6,0,1,1,0,3,3,0,9,9,0,3,2,1,31,27,3,16,15,1,11,3,7,3,0,3,5,0,5,24,5,19,2,162,112,45,New York,112,unknown,21,New Jersey,10,4
"PENNSYLVANIA, UNIVERSITY OF",2011,265,250,15,5,1,3,2,276,13,2,11,0,0,0,5,3,2,3,3,0,4,3,1,4,4,0,13,13,0,10,10,0,139,139,0,2,2,0,9,6,3,11,9,2,14,8,6,29,28,1,20,20,0,2,2,0,0,265,250,15,New York,106,Pennsylvania,42,District of Columbia,28,4
PEPPERDINE UNIVERSITY,2011,184,139,44,9,7,4,0,204,8,1,7,3,3,0,64,45,19,15,14,1,15,14,1,3,3,0,3,3,0,3,3,0,9,8,1,3,2,1,33,20,13,13,12,1,5,3,2,3,3,0,4,4,0,7,2,5,1,184,139,44,California,146,Arizona,4,Georgia,2,12
PHOENIX SCHOOL OF LAW,2011,63,53,10,1,3,2,0,69,9,2,7,4,4,0,24,22,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,10,10,0,7,7,0,9,3,6,0,0,0,1,1,0,4,3,1,0,63,53,10,Arizona,50,California,3,Texas,3,0
"PITTSBURGH, UNIVERSITY OF",2011,174,165,8,4,1,19,9,207,1,1,0,3,3,0,38,35,3,6,5,1,7,7,0,5,5,0,7,7,0,12,12,0,20,20,0,0,0,0,30,29,1,17,17,0,10,9,1,4,3,1,11,11,0,2,2,0,2,174,165,7,Pennsylvania,118,District of Columbia,13,New York,8,3
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0
"PUERTO RICO, UNIVERSITY OF",2011,54,40,11,6,3,6,110,179,0,0,0,2,0,2,10,7,2,2,2,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,16,13,3,9,5,2,2,2,0,1,1,0,4,3,1,0,0,0,1,54,40,10,Puerto Rico,52,unknown,1,Massachusetts,1,0
QUINNIPIAC COLLEGE,2011,85,65,15,1,2,7,2,97,6,0,6,3,2,1,17,14,3,3,3,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,0,15,12,3,20,19,1,8,2,5,1,1,0,7,7,0,2,0,2,2,84,65,15,Connecticut,67,Florida,2,Massachusetts,2,0
REGENT UNIVERSITY,2011,105,92,13,6,7,4,3,125,1,0,1,6,6,0,21,19,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,3,11,8,3,22,21,1,2,2,0,1,1,0,7,7,0,3,1,2,7,105,87,11,Virginia,35,unknown,17,Texas,7,0
"RICHMOND, UNIVERSITY OF",2011,140,123,17,4,5,5,4,158,0,0,0,1,1,0,21,19,2,10,10,0,5,5,0,1,1,0,0,0,0,4,4,0,2,2,0,0,0,0,51,37,14,13,12,1,2,2,0,9,9,0,21,21,0,0,0,0,0,140,123,17,Virginia,110,District of Columbia,5,Maryland,4,0
ROGER WILLIAMS UNIVERSITY,2011,123,123,0,13,13,14,8,171,0,0,0,6,6,0,29,29,0,4,4,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,17,17,0,18,18,0,12,12,0,11,11,0,1,1,0,19,19,0,2,2,0,0,123,123,0,Rhode Island,55,Massachusetts,14,Connecticut,11,1
RUTGERS UNIVERSITY-CAMDEN,2011,233,214,16,8,7,38,2,288,12,1,11,0,0,0,31,31,0,7,7,0,4,4,0,5,5,0,6,6,0,3,3,0,5,5,0,1,1,0,40,37,2,28,18,10,10,7,3,12,12,0,74,74,0,5,4,1,2,233,214,16,New Jersey,149,Pennsylvania,50,New York,7,2
RUTGERS UNIVERSITY-NEWARK,2011,220,201,17,3,2,26,7,258,4,3,1,2,2,0,24,19,5,4,3,1,2,0,2,5,5,0,6,6,0,10,10,0,19,18,1,0,0,0,48,42,5,17,17,0,3,3,0,0,0,0,71,70,1,8,6,2,1,220,201,17,New Jersey,145,New York,51,District of Columbia,5,2
SAMFORD UNIVERSITY,2011,122,109,13,8,5,14,7,156,1,1,0,9,9,0,27,22,5,9,9,0,5,5,0,8,7,1,7,7,0,3,3,0,1,1,0,9,8,1,19,15,4,8,7,1,7,7,0,3,3,0,6,6,0,1,0,1,0,122,109,13,Alabama,82,Tennessee,15,Georgia,7,0
"SAN DIEGO, UNIVERSITY OF",2011,284,213,69,9,15,4,10,322,18,0,18,5,5,0,72,62,10,9,9,0,7,7,0,10,10,0,11,11,0,11,11,0,11,11,0,12,6,5,54,46,8,33,17,16,22,7,15,9,7,2,0,0,0,16,3,13,2,284,212,69,California,243,Illinois,5,Massachusetts,4,2
"SAN FRANCISCO, UNIVERSITY OF",2011,156,78,64,1,5,10,7,179,30,1,29,3,3,0,33,21,12,11,9,2,2,2,0,4,3,1,3,3,0,3,3,0,7,7,0,3,1,0,19,9,6,14,7,6,19,5,12,0,0,0,3,2,1,19,1,18,13,156,76,58,California,118,District of Columbia,2,Arkansas,1,2
SANTA CLARA UNIVERSITY,2011,241,216,22,3,55,6,0,305,14,1,13,7,7,0,29,29,0,10,10,0,3,2,1,6,5,1,0,0,0,1,1,0,26,26,0,24,24,0,55,50,5,19,19,0,25,24,1,5,5,0,0,0,0,15,1,14,16,241,203,22,California,209,Washington,4,Texas,3,5
SEATTLE UNIVERSITY,2011,283,218,65,9,16,13,0,321,4,1,3,21,20,1,89,64,25,8,8,0,13,13,0,1,1,0,3,3,0,4,4,0,5,4,1,0,0,0,59,41,18,31,26,5,25,14,11,4,4,0,11,11,0,9,5,4,0,283,218,65,Washington,246,Oregon,5,Colorado,3,5
SETON HALL UNIVERSITY,2011,274,243,22,3,2,37,4,320,0,0,0,4,4,0,43,38,5,7,7,0,12,9,3,10,10,0,8,7,0,6,6,0,20,20,0,2,1,1,33,25,6,17,12,3,6,4,2,3,3,0,97,97,0,2,0,2,4,274,243,22,New Jersey,181,New York,51,unknown,4,3
"SOUTH CAROLINA, UNIVERSITY OF",2011,172,144,28,9,5,18,10,214,0,0,0,6,6,0,36,23,13,10,10,0,3,3,0,2,1,1,8,5,3,6,5,1,1,1,0,0,0,0,17,8,9,30,29,1,6,6,0,9,9,0,34,34,0,4,4,0,0,172,144,28,South Carolina,127,North Carolina,13,Georgia,6,0
"SOUTH DAKOTA, UNIVERSITY OF",2011,51,34,17,5,0,9,0,65,0,0,0,0,0,0,16,16,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,4,0,4,4,0,2,0,2,13,0,13,3,2,1,0,51,34,17,South Dakota,40,Iowa,6,Nebraska,1,0
SOUTH TEXAS COLLEGE OF LAW,2011,324,268,37,4,9,16,28,381,0,0,0,41,30,1,99,86,11,24,21,3,14,14,0,8,7,1,3,2,1,3,3,0,5,5,0,6,4,1,67,52,11,34,29,4,10,6,3,3,3,0,4,3,1,3,3,0,0,324,268,37,Texas,308,Florida,3,Illinois,2,2
"SOUTHERN CALIFORNIA, UNIVERSITY OF",2011,178,153,25,6,6,3,2,195,17,0,17,3,3,0,28,26,2,5,5,0,3,3,0,2,2,0,5,5,0,5,5,0,57,57,0,2,0,2,19,16,3,22,12,10,10,7,3,10,10,0,0,0,0,7,2,5,0,178,153,25,California,153,New York,7,District of Columbia,5,1
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,2011,98,92,6,6,1,19,11,135,1,1,0,7,7,0,31,30,1,10,10,0,3,3,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,15,11,4,20,19,1,1,1,0,1,1,0,4,4,0,2,2,0,0,98,92,6,Illinois,61,Kentucky,10,Missouri,7,1
SOUTHERN METHODIST UNIVERSITY,2011,225,205,20,7,16,11,0,259,3,1,2,3,3,0,60,53,7,13,11,2,16,16,0,13,13,0,2,2,0,10,9,1,29,29,0,0,0,0,46,40,6,14,13,1,6,5,1,7,6,1,3,3,0,3,2,1,0,225,205,20,Texas,204,California,5,Oklahoma,3,0
SOUTHERN UNIVERSITY,2011,114,94,20,3,5,10,0,132,0,0,0,12,12,0,44,36,8,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,16,11,5,23,21,2,3,3,0,0,0,0,7,2,5,5,5,0,0,114,94,20,Louisiana,91,Texas,4,Alabama,3,1
