university,yr,Number Employed,Employed Long Term,Employed Short Term,Purs Grad Deg FT,Unempl Not Seek,Unemployed Seek,Emp Status Unk,Total Graduates,Law Schl Funded,Law Schl Funded LT,Law Schl Funded ST,Emp Solo ,Emp Solo LT,Emp Solo ST,Emp 2-10,Emp 2-10 LT,Emp 2-10 ST,Emp 11-25,Emp 11-25 LT,Emp 11-25 ST,Emp 26-50,Emp 26-50 LT,Emp 36-50 ST,Emp 51-100,Emp 51-100 LT,Emp 51-100 ST,Emp 101-250,Emp 101-250 LT,Emp 101-250 ST,Emp 251-500,Emp 251-500 LT,Emp 251-500 ST,Emp 501+,Emp 501+ LT,Emp 501+ ST,Emp Type Unk,Emp Type Unk LT,Emp Type ST ,Bus & Ind,Bus & Ind LT,Bus & Ind ST,Government,Government LT,Government ST,Public Interest,Public Interest LT,Public Interest ST,Federal,Federal LT,Federal ST,State & local,State & local LT,State & local ST,Academia,Academia LT,Academia ST,Emp Type Unk,Tot Emp Type,Tot Emp Type LT,Tot Emp Type ST,State 1 Lrgst Emp,State 1 Lrgst Emp Num,State 2 Lrgst Emp,State 2 Lrgst Emp Num,State 3 Lrgst Emp,State 3 Lrgst Emp Num,Emp Forgn Countries
BOSTON UNIVERSITY,2011,237,191,35,8,8,19,1,273,35,1,34,0,0,0,1,1,0,1,1,0,2,2,0,2,2,0,15,15,0,18,18,0,68,68,0,28,23,0,19,13,1,21,19,2,22,12,9,3,3,0,16,11,5,21,3,18,0,237,191,35,Massachusetts,115,New York,55,California,16,3
BRIGHAM YOUNG UNIVERSITY,2011,139,127,3,2,1,2,1,145,2,0,2,3,3,0,29,29,0,9,9,0,8,8,0,3,3,0,2,2,0,4,4,0,8,8,0,1,1,0,19,16,0,17,17,0,5,5,0,5,5,0,14,13,0,8,3,3,4,139,126,3,Utah,63,California,15,District of Columbia,8,0
BROOKLYN LAW SCHOOL,2011,376,314,62,6,26,43,12,463,11,1,10,1,1,0,66,56,10,15,15,0,10,9,1,17,17,0,2,2,0,17,16,1,42,41,1,4,1,3,69,63,6,75,47,28,27,16,11,12,12,0,14,14,0,3,3,0,2,376,313,61,New York,312,New Jersey,19,Massachusetts,7,3
CALIFORNIA WESTERN SCHOOL OF LAW,2011,211,149,62,6,13,28,25,283,1,0,1,17,17,0,93,62,31,4,3,1,4,3,1,5,5,0,1,1,0,0,0,0,1,1,0,0,0,0,34,19,15,19,13,6,20,17,3,2,1,1,5,4,1,6,3,3,0,211,149,62,California,172,Nevada,6,District of Columbia,4,1
"CALIFORNIA-BERKELEY, UNIVERSITY OF",2011,277,263,14,2,6,11,0,296,5,4,1,6,4,2,13,9,4,4,4,0,4,4,0,2,2,0,12,12,0,19,19,0,122,122,0,0,0,0,5,4,1,24,22,2,34,30,4,20,20,0,6,6,0,6,5,1,0,277,263,14,California,168,New York,36,District of Columbia,33,5
"CALIFORNIA-DAVIS, UNIVERSITY OF",2011,179,116,41,6,1,7,1,194,12,0,12,3,3,0,19,15,3,3,1,2,9,9,0,4,4,0,5,5,0,3,3,0,17,17,0,18,16,2,14,9,3,19,15,4,21,9,11,2,2,0,8,7,1,16,1,15,18,179,116,41,California,152,District of Columbia,3,Washington,3,6
"CALIFORNIA-HASTINGS, UNIVERSITY OF",2011,350,234,115,7,30,24,10,421,58,2,56,8,4,4,60,38,22,30,26,4,12,11,1,10,9,1,16,16,0,14,14,0,42,42,0,0,0,0,37,25,11,53,24,29,25,8,17,4,3,1,15,10,5,24,4,20,0,350,234,115,California,313,New York,10,District of Columbia,4,3
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",2011,322,264,56,6,10,6,2,346,41,3,38,0,0,0,34,26,7,9,9,0,6,6,0,9,9,0,15,14,1,14,14,0,97,97,0,0,0,0,28,21,6,35,24,11,29,16,13,17,16,1,10,7,3,19,5,14,0,322,264,56,California,258,New York,22,District of Columbia,18,7
CAMPBELL UNIVERSITY,2011,81,72,9,5,0,16,4,106,0,0,0,6,6,0,37,36,1,4,3,1,6,6,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,10,6,4,5,5,0,4,4,0,1,1,0,4,3,1,1,1,0,0,81,72,9,North Carolina,72,Georgia,2,Maryland,2,0
CAPITAL UNIVERSITY,2011,119,96,18,1,5,15,37,177,0,0,0,6,6,0,41,32,4,11,9,2,3,3,0,0,0,0,3,2,1,0,0,0,1,1,0,0,0,0,25,20,5,19,14,5,4,3,1,0,0,0,3,3,0,3,3,0,0,119,96,18,Ohio,106,District of Columbia,3,Michigan,3,0
CASE WESTERN RESERVE UNIVERSITY,2011,192,135,57,4,5,13,9,223,18,0,18,2,2,0,33,21,12,10,8,2,8,7,1,2,2,0,12,12,0,5,5,0,10,10,0,2,1,1,44,34,10,32,16,16,22,7,15,3,3,0,6,6,0,1,1,0,0,192,135,57,Ohio,103,New York,13,District of Columbia,12,3
CATHOLIC UNIVERSITY OF AMERICA,2011,244,213,29,7,9,23,3,286,7,0,7,1,1,0,26,24,2,5,5,0,4,4,0,5,4,1,4,4,0,12,12,0,9,9,0,1,1,0,53,39,13,84,81,3,6,4,2,5,5,0,18,17,1,8,1,7,3,244,211,29,District of Columbia,109,Maryland,40,Virginia,39,2
CHAPMAN UNIVERSITY,2011,132,86,44,7,26,2,4,171,23,0,23,1,0,1,50,37,11,11,9,2,8,6,2,2,2,0,2,2,0,1,1,0,2,2,0,2,1,1,22,18,4,2,2,0,3,3,0,3,3,0,0,0,0,23,0,23,0,132,86,44,California,126,Colorado,1,Georgia,1,0
CHARLESTON SCHOOL OF LAW,2011,129,109,19,12,6,23,15,185,0,0,0,9,9,0,56,52,3,3,1,2,2,1,1,5,4,1,1,1,0,0,0,0,1,1,0,0,0,0,14,5,9,16,15,1,5,5,0,1,1,0,14,14,0,1,0,1,1,129,109,18,South Carolina,91,North Carolina,9,Virginia,9,0
