SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_EmployedBarPassageRequiredFTLT,Funded_EmployedBarPassageRequiredFTST,Funded_EmployedBarPassageRequiredPTLT,Funded_EmployedBarPassageRequiredPTST,Funded_EmployedBarPassageRequiredTotalEmployed,Funded_EmployedJDAdvantageFTLT,Funded_EmployedJDAdvantageFTST,Funded_EmployedJDAdvantagePTLT,Funded_EmployedJDAdvantagePTST,Funded_EmployedJDAdvantageTotalEmployed,Funded_EmployedProfessionFTLT,Funded_EmployedProfessionFTST,Funded_EmployedProfessionPTLT,Funded_EmployedProfessionPTST,Funded_EmployedProfessionTotalEmployed,Funded_EmployedNonProfessionFTLT,Funded_EmployedNonProfessionFTST,Funded_EmployedNonProfessionPTLT,Funded_EmployedNonProfessionPTST,Funded_EmployedNonProfessionTotalEmployed,Funded_TotalFTLT,Funded_TotalFTST,Funded_TotalPTLT,Funded_TotalPTST,Funded_TotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Education-FTLT,Education-FTST,Education-PTLT,Education-PTST,Education,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",84,0,1,1,86,11,0,0,3,14,8,0,0,0,8,1,0,0,0,1,0,0,0,0,0,4,2,4,20,0,139,0,0,0,0,0,2,0,0,3,5,2,0,0,0,2,0,0,0,0,0,4,0,0,3,7,12,0,0,0,12,32,0,1,0,33,6,0,0,0,6,3,0,0,0,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,12,0,0,0,12,8,0,0,0,8,2,0,0,1,3,5,0,0,0,5,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,104,0,1,4,109,Arkansas,93,Texas,3,District Of Columbia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA'S JOHN MARSHALL LAW SHOOL,77,0,9,6,92,26,1,7,3,37,19,1,4,1,25,0,0,0,0,0,0,0,1,1,2,3,0,14,4,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,14,48,1,13,1,63,4,0,0,5,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3,0,0,0,3,2,0,1,0,3,26,1,4,2,33,12,0,2,0,14,6,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,1,1,3,0,0,0,1,1,122,2,21,11,156,Georgia,131,Florida,4,New York,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVE MARIA SCHOOL OF LAW,58,3,1,1,63,21,1,1,3,26,6,0,2,1,9,2,0,0,8,10,0,0,0,1,1,5,3,1,36,12,166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,3,14,1,1,1,17,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,1,1,1,37,16,1,1,10,28,9,0,0,1,10,4,0,0,1,5,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,87,4,4,14,109,Florida,54,Texas,4,Utah,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BALTIMORE, UNIVERSITY OF",185,3,1,1,190,67,7,6,10,90,5,0,1,1,7,0,0,0,7,7,0,0,0,0,0,4,0,4,37,4,343,1,0,0,0,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,72,1,5,6,84,14,1,0,0,15,7,0,0,0,7,7,0,0,0,7,6,0,1,0,7,1,0,0,0,1,5,0,0,0,5,2,0,0,0,2,32,3,0,10,45,41,3,1,1,46,11,2,0,1,14,2,0,0,0,2,50,0,0,0,50,0,0,0,0,0,7,0,1,1,9,0,0,0,0,0,257,10,8,19,294,Maryland,238,District Of Columbia,23,Virginia,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRY UNIVERSITY,97,3,3,1,104,8,2,0,1,11,3,1,4,0,8,1,1,3,2,7,2,0,0,1,3,8,1,4,39,15,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,16,40,1,2,0,43,6,0,0,1,7,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,7,2,5,4,18,15,3,0,0,18,10,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,111,7,10,5,133,Florida,110,New Jersey,5,District Of Columbia,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYLOR UNIVERSITY,112,5,4,1,122,8,2,0,1,11,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,4,3,15,3,164,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,4,44,2,1,0,47,15,2,1,1,19,12,0,0,0,12,3,0,0,0,3,5,0,0,0,5,4,0,0,0,4,4,0,0,0,4,0,0,2,0,2,16,2,0,1,19,10,0,0,0,10,2,1,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,125,7,4,2,138,Texas,117,Oklahoma,2,California,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELMONT UNIVERSITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,117,Oklahoma,2,California,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON COLLEGE,170,4,2,10,186,15,3,1,8,27,2,1,0,1,4,0,1,1,0,2,0,0,0,0,0,4,3,3,29,2,260,0,0,0,5,5,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1,0,0,0,1,19,0,1,6,26,10,1,0,0,11,7,0,0,0,7,7,0,0,0,7,22,0,0,0,22,4,0,0,0,4,40,0,0,0,40,0,0,0,0,0,25,5,2,1,33,25,2,0,0,27,12,0,1,5,18,6,0,0,0,6,8,1,0,0,9,0,0,0,0,0,1,0,0,7,8,0,0,0,0,0,187,9,4,19,219,Massachusetts,116,New York,22,District Of Columbia,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON UNIVERSITY,175,15,7,28,225,11,1,2,2,16,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,7,0,2,12,7,273,0,11,0,26,37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,27,38,0,0,0,0,0,15,0,5,0,20,8,1,0,0,9,10,0,0,0,10,5,0,0,0,5,16,0,0,0,16,10,0,0,0,10,48,0,0,0,48,0,0,0,0,0,20,1,1,3,25,20,4,0,7,31,15,10,3,19,47,13,0,0,0,13,7,0,0,0,7,0,0,0,0,0,1,0,0,2,3,1,0,0,0,1,189,16,9,31,245,Massachusetts,110,New York,33,California,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHAM YOUNG UNIVERSITY,94,3,7,3,107,21,1,2,0,24,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0,147,1,3,0,3,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,3,8,2,0,1,0,3,20,0,4,0,24,6,0,0,0,6,6,0,0,0,6,4,0,0,0,4,5,0,0,0,5,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,23,1,2,0,26,13,2,1,1,17,2,1,1,2,6,7,0,0,0,7,17,0,0,0,17,0,0,0,0,0,5,0,1,0,6,0,0,0,0,0,116,4,10,3,133,Utah,71,California,13,District Of Columbia,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
