SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_EmployedBarPassageRequiredFTLT,Funded_EmployedBarPassageRequiredFTST,Funded_EmployedBarPassageRequiredPTLT,Funded_EmployedBarPassageRequiredPTST,Funded_EmployedBarPassageRequiredTotalEmployed,Funded_EmployedJDAdvantageFTLT,Funded_EmployedJDAdvantageFTST,Funded_EmployedJDAdvantagePTLT,Funded_EmployedJDAdvantagePTST,Funded_EmployedJDAdvantageTotalEmployed,Funded_EmployedProfessionFTLT,Funded_EmployedProfessionFTST,Funded_EmployedProfessionPTLT,Funded_EmployedProfessionPTST,Funded_EmployedProfessionTotalEmployed,Funded_EmployedNonProfessionFTLT,Funded_EmployedNonProfessionFTST,Funded_EmployedNonProfessionPTLT,Funded_EmployedNonProfessionPTST,Funded_EmployedNonProfessionTotalEmployed,Funded_TotalFTLT,Funded_TotalFTST,Funded_TotalPTLT,Funded_TotalPTST,Funded_TotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Education-FTLT,Education-FTST,Education-PTLT,Education-PTST,Education,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN LAW SCHOOL,227,6,14,5,252,40,1,0,0,41,15,1,2,0,18,8,0,0,1,9,12,1,2,0,15,9,0,10,100,12,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,63,2,8,2,75,8,0,0,0,8,16,1,0,0,17,7,0,2,0,9,10,0,0,0,10,8,0,0,0,8,23,1,0,0,24,1,0,1,0,2,64,5,5,1,75,46,0,0,1,47,24,0,0,2,26,10,0,0,0,10,15,0,0,0,15,0,0,0,0,0,4,0,0,0,4,2,0,2,0,4,302,9,18,6,335,New York,283,New Jersey,16,Unknown,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA WESTERN SCHOOL OF LAW,124,5,2,9,140,16,5,7,6,34,4,2,1,0,7,4,1,8,2,15,0,0,0,0,0,1,0,9,57,20,283,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10,1,1,4,16,57,3,3,7,70,8,0,0,0,8,3,0,0,0,3,8,0,1,0,9,0,0,0,0,0,0,0,1,0,1,2,1,0,0,3,7,0,0,2,9,20,4,11,2,37,15,3,0,0,18,12,0,1,1,14,1,0,0,0,1,4,0,0,0,4,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,148,13,18,17,196,California,138,Unknown,32,Nevada,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-BERKELEY, UNIVERSITY OF",267,11,0,2,280,8,0,0,0,8,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,4,1,2,9,1,312,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,8,1,0,1,10,5,0,0,0,5,7,0,0,0,7,4,0,0,0,4,12,0,0,0,12,29,0,0,0,29,126,0,0,0,126,0,0,0,0,0,13,1,0,1,15,25,1,0,0,26,20,8,0,0,28,21,0,0,0,21,7,0,0,0,7,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,281,11,0,3,295,California,182,District Of Columbia,25,New York,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-DAVIS, UNIVERSITY OF",125,5,5,1,136,12,0,0,26,38,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1,3,12,4,202,1,0,0,0,1,1,0,0,26,27,0,0,0,0,0,0,0,0,0,0,2,0,0,26,28,2,0,1,0,3,26,2,4,1,33,15,0,0,0,15,4,0,0,0,4,6,0,0,0,6,5,0,0,0,5,2,0,0,0,2,17,0,0,0,17,2,0,0,0,2,18,2,0,0,20,22,0,0,0,22,11,2,0,0,13,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,3,0,0,26,29,1,0,0,0,1,139,6,5,27,177,California,161,District Of Columbia,4,Nevada,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-HASTINGS, UNIVERSITY OF",205,18,23,40,286,24,3,3,2,32,6,0,1,0,7,0,0,3,1,4,0,0,0,0,0,3,6,2,95,8,443,0,0,1,30,31,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,31,33,0,0,5,0,5,56,5,15,5,81,24,0,1,0,25,11,0,0,0,11,6,0,0,0,6,12,0,1,0,13,10,0,0,0,10,37,0,0,0,37,0,0,0,0,0,24,5,7,3,39,28,7,0,17,52,14,3,0,14,31,8,0,0,1,9,2,0,0,0,2,0,0,0,0,0,3,1,1,3,8,0,0,0,0,0,235,21,30,43,329,California,300,District Of Columbia,6,New York,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-IRVINE, UNIVERSITY OF",47,2,1,0,50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,1,0,8,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,4,0,0,0,4,8,0,0,0,8,0,0,0,0,0,2,0,0,0,2,4,0,0,0,4,1,0,0,0,1,16,0,0,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,1,0,51,CALIFORNIA,37,NEW YORK,3,TENNESSEE,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",240,8,3,29,280,17,0,2,1,20,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,2,5,19,1,333,7,3,0,27,37,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9,3,0,28,40,0,0,0,0,0,35,1,2,2,40,10,1,1,0,12,9,0,0,0,9,8,0,0,0,8,16,0,0,0,16,10,0,0,0,10,88,0,0,0,88,0,0,0,0,0,21,3,2,1,27,19,2,0,7,28,19,1,0,18,38,16,0,0,0,16,3,0,0,1,4,2,0,0,0,2,2,0,0,2,4,0,0,0,0,0,258,8,5,31,302,California,250,New York,17,District Of Columbia,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELL UNIVERSITY,98,8,0,0,106,15,0,0,0,15,11,0,1,1,13,0,1,0,0,1,0,0,0,0,0,3,0,0,5,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,53,0,0,0,53,7,0,0,0,7,4,0,0,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,22,9,0,1,32,5,0,0,0,5,8,0,0,0,8,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,124,9,1,1,135,North Carolina,123,Virginia,5,South Carolina,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL UNIVERSITY,95,19,2,0,116,19,2,1,3,25,20,2,0,1,23,0,0,0,2,2,0,0,0,0,0,0,2,1,21,7,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,15,35,2,1,0,38,6,0,0,0,6,7,0,0,0,7,2,1,0,0,3,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,29,20,0,3,52,26,0,0,2,28,8,0,1,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,134,23,3,6,166,Ohio,149,California,2,Illinois,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDOZO SCHOOL OF LAW,209,4,15,27,255,25,2,1,1,29,12,2,4,0,18,4,0,0,0,4,0,0,0,0,0,12,4,26,37,2,387,0,2,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,23,3,0,0,0,3,49,0,13,3,65,9,0,0,1,10,6,0,1,0,7,8,0,1,0,9,9,0,0,0,9,7,0,0,0,7,29,0,0,0,29,0,1,0,0,1,61,1,3,4,69,28,2,1,14,45,22,1,1,6,30,3,0,0,0,3,13,0,0,0,13,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,249,8,20,28,305,New York,236,New Jersey,29,California,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE WESTERN RESERVE UNIVERSITY,81,3,6,10,100,25,0,6,0,31,6,0,0,0,6,1,1,1,0,3,0,0,0,0,0,6,0,3,21,2,172,1,0,0,10,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,10,12,5,0,0,0,5,20,0,3,0,23,3,0,0,0,3,3,0,0,0,3,4,0,0,0,4,7,0,0,0,7,1,0,0,0,1,7,0,0,0,7,1,0,0,0,1,28,2,5,2,37,16,1,3,4,24,11,0,2,4,17,2,0,0,0,2,3,1,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,113,4,13,10,140,OHIO,66,DISTRICT OF COLUMBIA,14,NEW YORK,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHOLIC UNIVERSITY OF AMERICA,90,7,0,3,100,64,12,3,3,82,11,1,0,0,12,0,1,4,0,5,0,0,0,0,0,2,1,5,36,3,246,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,21,2,3,1,27,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,5,0,0,0,5,11,0,0,0,11,0,0,0,0,0,41,13,4,4,62,42,3,0,1,46,9,0,0,0,9,4,0,0,0,4,20,1,0,0,21,0,0,0,0,0,3,2,0,0,5,0,0,0,0,0,165,21,7,6,199,District Of Columbia,89,Virginia,46,Maryland,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPMAN UNIVERSITY,65,7,4,0,76,20,6,4,7,37,3,0,0,1,4,1,0,4,0,5,0,0,0,1,1,1,0,11,43,0,178,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,5,29,4,5,2,40,15,3,0,0,18,4,1,0,0,5,6,0,0,0,6,3,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,21,2,5,3,31,4,1,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,0,0,0,1,1,89,13,12,9,123,California,116,District of Columbia,2,Illinois,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLESTON SCHOOL OF LAW,123,9,5,0,137,9,1,3,1,14,8,0,0,1,9,5,1,1,1,8,1,0,0,1,2,9,5,3,42,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,59,1,7,1,68,8,2,0,0,10,3,0,0,0,3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,19,8,2,1,30,15,0,0,0,15,6,0,0,0,6,2,0,0,0,2,16,0,0,0,16,0,0,0,0,0,1,0,0,1,2,2,0,0,1,3,146,11,9,4,170,South Carolina,136,North Carolina,8,Virginia,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE SCHOOL OF LAW,90,17,2,14,123,22,14,4,23,63,10,0,2,0,12,0,1,5,1,7,1,0,1,1,3,3,0,3,20,0,234,2,3,0,12,17,0,1,0,22,23,0,0,0,0,0,0,0,0,0,0,2,4,0,34,40,8,0,0,0,8,46,0,4,0,50,2,1,0,0,3,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,1,0,0,2,2,0,0,0,2,38,26,9,3,76,9,0,0,0,9,7,2,0,27,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,12,0,0,1,1,2,123,32,14,39,208,North Carolina,154,South Carolina,14,Virginia,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHICAGO, UNIVERSITY OF",204,2,0,1,207,4,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,215,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,8,0,0,0,8,4,0,0,0,4,6,0,0,1,7,5,0,0,0,5,7,0,0,0,7,17,0,0,0,17,97,0,0,0,97,0,0,0,0,0,6,0,1,1,8,5,1,0,0,6,18,0,0,0,18,31,1,0,0,32,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,2,1,2,213,Illinois,76,New York,36,California,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO-KENT COLLEGE OF LAW-IIT,168,7,8,3,186,16,2,4,2,24,19,1,4,1,25,0,0,0,0,0,0,0,0,0,0,4,0,7,25,11,282,1,0,0,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,3,0,1,0,4,9,0,0,0,9,64,2,7,3,76,12,0,2,1,15,11,1,0,0,12,10,1,0,0,11,11,0,0,0,11,7,0,0,0,7,14,0,0,0,14,0,0,0,0,0,35,5,5,2,47,14,1,0,0,15,5,0,1,0,6,1,0,0,0,1,6,0,0,0,6,0,0,0,0,0,4,0,1,0,5,0,0,0,0,0,203,10,16,6,235,Illinois,205,District Of Columbia,3,Michigan,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CINCINNATI, UNIVERSITY OF",74,1,5,8,88,15,1,2,1,19,5,0,1,0,6,2,0,4,0,6,0,0,0,0,0,2,2,2,15,0,140,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,1,19,0,2,2,23,9,0,0,0,9,4,0,1,1,6,3,0,0,0,3,2,0,0,0,2,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,18,2,6,0,26,17,0,1,0,18,7,0,1,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,1,6,8,0,0,0,0,0,96,2,12,9,119,Ohio,89,Kentucky,5,Indiana,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITY UNIVERSITY OF NEW YORK,77,3,1,18,99,7,5,2,0,14,2,1,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,3,19,1,141,1,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,19,3,0,1,0,4,21,4,0,0,25,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,2,0,9,11,0,0,0,11,27,5,0,18,50,3,0,0,0,3,6,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,1,0,1,87,9,4,18,118,New York,90,New Jersey,6,Arizona,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEVELAND STATE UNIVERSITY,86,5,5,0,96,20,0,7,3,30,21,0,0,0,21,1,0,5,0,6,0,0,0,0,0,3,0,1,19,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,23,1,5,0,29,12,0,1,0,13,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,2,0,0,0,2,5,0,0,0,5,3,0,0,0,3,34,4,7,0,45,21,0,2,1,24,5,0,1,2,8,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,128,5,17,3,153,Ohio,126,Pennsylvania,6,Michigan,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COLORADO, UNIVERSITY OF",93,9,3,11,116,19,4,3,4,30,4,2,1,2,9,0,0,0,0,0,3,0,0,0,3,0,0,5,10,2,175,2,3,1,4,10,1,0,0,3,4,0,0,0,2,2,0,0,0,0,0,3,3,1,9,16,3,0,0,0,3,21,0,2,5,28,5,0,0,2,7,8,0,0,0,8,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,5,1,0,0,6,1,0,0,0,1,10,1,2,0,13,14,10,3,0,27,17,1,0,1,19,3,1,0,0,4,23,1,0,6,30,0,0,0,0,0,4,0,0,3,7,2,0,0,0,2,119,15,7,17,158,Colorado,136,Minnesota,3,Arizona,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA UNIVERSITY,438,2,0,0,440,17,0,0,0,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,5,2,469,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,7,3,0,0,0,3,9,0,0,0,9,41,0,0,0,41,251,2,0,0,253,0,0,0,0,0,18,0,0,0,18,35,0,0,0,35,44,0,0,0,44,37,0,0,0,37,4,0,0,0,4,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,456,2,0,0,458,New York,316,California,34,District Of Columbia,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCORDIA LAW SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,316,California,34,District Of Columbia,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONNECTICUT, UNIVERSITY OF",108,0,3,3,114,32,1,1,2,36,13,0,3,1,17,1,0,0,1,2,0,0,0,0,0,5,0,5,15,5,199,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,3,27,0,1,1,29,11,0,1,0,12,4,0,0,0,4,10,0,0,0,10,10,0,0,0,10,1,0,0,0,1,4,0,0,0,4,0,0,0,0,0,32,0,4,2,38,25,0,1,2,28,10,1,0,1,12,1,0,0,0,1,12,0,0,0,12,1,0,0,0,1,3,0,0,1,4,0,0,0,0,0,154,1,7,7,169,Connecticut,118,Massachusetts,16,New York,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORNELL UNIVERSITY,163,11,1,0,175,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,190,1,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,12,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,5,0,0,0,5,18,0,0,0,18,87,0,0,0,87,0,0,1,0,1,4,0,0,0,4,16,4,0,0,20,10,3,0,0,13,12,1,0,0,13,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,165,11,1,0,177,New York,105,California,12,District Of Columbia,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREIGHTON UNIVERSITY,95,3,6,3,107,19,0,0,0,19,3,0,3,0,6,1,1,5,0,7,0,0,0,0,0,7,0,3,14,2,165,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,3,38,1,3,1,43,8,1,0,0,9,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,20,1,10,0,31,25,0,0,0,25,9,0,0,0,9,4,0,0,0,4,2,1,0,0,3,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,118,4,14,3,139,Nebraska,73,Iowa,20,Colorado,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAYTON, UNIVERSITY OF",89,6,1,2,98,13,1,1,0,15,11,0,0,1,12,1,1,2,3,7,0,0,0,0,0,2,3,3,22,12,174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7,0,0,0,7,37,1,1,1,40,6,0,1,0,7,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,19,6,2,2,29,20,1,0,1,22,7,0,0,0,7,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,114,8,4,6,132,Ohio,69,Illinois,8,Indiana,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
