SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"AKRON, UNIVERSITY OF",66,0,2,1,69,25,0,5,0,30,5,1,3,0,9,2,1,1,0,4,0,0,0,0,0,1,2,0,9,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,16,0,3,0,19,8,0,1,0,9,5,0,0,0,5,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4,25,1,4,1,31,25,0,1,0,26,2,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,98,2,11,1,112,Ohio,88,Texas,3,Illinois,2,0
"ALABAMA, UNIVERSITY OF",125,3,3,0,131,21,2,0,0,23,2,1,1,0,4,0,0,2,0,2,0,0,0,0,0,3,0,2,4,2,171,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,1,0,6,29,0,1,0,30,11,0,0,0,11,5,0,0,0,5,6,0,0,0,6,8,2,0,0,10,10,0,0,0,10,4,1,0,0,5,0,0,0,0,0,21,2,3,0,26,22,1,0,0,23,8,0,0,0,8,8,0,0,0,8,8,0,1,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,148,6,6,0,160,Alabama,96,Georgia,12,Tennessee,8,1
ALBANY LAW SCHOOL OF UNION UNIVERSITY,127,0,2,0,129,21,9,2,0,32,3,0,0,0,3,2,0,1,0,3,1,0,0,0,1,2,7,1,21,5,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,0,1,0,43,14,0,0,0,14,6,0,0,0,6,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,30,3,3,0,36,34,6,0,0,40,10,0,1,0,11,1,0,0,0,1,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,154,9,5,0,168,New York,145,Colorado,3,Pennsylvania,3,1
AMERICAN UNIVERSITY,251,9,0,3,263,72,4,0,9,85,11,0,0,3,14,0,1,1,6,8,0,0,0,0,0,14,3,4,63,6,460,44,0,0,0,44,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,20,2,0,2,24,16,1,0,0,17,6,1,0,0,7,6,1,0,0,7,7,0,0,0,7,8,0,0,0,8,25,2,0,0,27,0,0,0,1,1,31,1,1,15,48,96,3,0,1,100,59,1,0,1,61,17,0,0,0,17,28,1,0,0,29,0,0,0,0,0,13,1,0,0,14,2,0,0,1,3,334,14,1,21,370,District of Columbia,158,Maryland,62,Virginia,36,11
APPALACHIAN SCHOOL OF LAW,34,3,2,0,39,6,0,2,4,12,5,0,0,0,5,1,0,9,1,11,0,0,0,0,0,3,2,0,20,3,95,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,4,17,1,3,1,22,3,0,0,0,3,1,0,0,1,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,7,3,18,8,0,1,0,9,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,46,3,13,5,67,Virginia,19,Kentucky,10,Tennessee,9,0
ARIZONA STATE UNIVERSITY,141,5,0,0,146,33,1,1,1,36,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,198,2,5,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,0,0,8,5,0,0,0,5,35,0,1,1,37,9,0,0,0,9,10,0,0,0,10,3,0,0,0,3,7,0,0,0,7,11,0,0,0,11,6,0,0,0,6,0,0,0,0,0,32,1,0,0,33,36,1,0,0,37,8,3,0,0,11,4,0,0,0,4,13,0,0,0,13,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,182,6,1,1,190,Arizona,151,California,8,Colorado,5,0
ARIZONA SUMMIT LAW SCHOOL,136,6,1,2,145,60,33,16,1,110,32,2,5,1,40,0,0,2,0,2,0,0,0,0,0,8,0,3,18,0,326,6,1,0,0,7,1,25,0,0,26,0,0,0,0,0,0,0,0,0,0,7,26,0,0,33,10,0,0,0,10,78,7,7,0,92,10,0,1,0,11,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,4,5,3,0,12,58,10,12,2,82,46,6,0,0,52,5,6,0,0,11,2,0,0,0,2,4,0,0,0,4,0,0,0,0,1,5,5,1,2,13,0,2,0,0,2,228,41,24,4,297,Arizona,212,California,19,Texas,9,2
"ARIZONA, UNIVERSITY OF",103,0,0,1,104,15,0,2,1,18,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,8,1,1,5,4,144,9,0,0,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,22,0,0,1,23,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3,3,0,0,0,3,6,0,0,0,6,12,0,0,0,12,23,0,1,0,24,1,0,1,0,2,5,0,0,0,5,24,0,0,0,24,0,0,0,0,0,9,0,0,0,9,0,0,0,2,2,120,0,2,3,125,Arizona,90,California,7,District of Columbia,3,4
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",71,1,1,0,73,31,3,0,0,34,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,2,7,3,129,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,3,0,0,0,3,30,0,1,0,31,7,0,0,0,7,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,26,3,0,0,29,19,0,0,0,19,3,1,0,0,4,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,107,4,1,0,112,Arkansas,71,Texas,7,Missouri,6,1
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",74,1,3,0,78,16,2,0,0,18,1,2,1,0,4,1,0,1,1,3,0,0,0,0,0,3,1,2,13,3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,29,0,2,0,31,2,0,0,0,2,4,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,8,3,2,1,14,23,1,1,0,25,5,1,0,0,6,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,92,5,5,1,103,Arkansas,77,Texas,4,Florida,2,0
ATLANTA'S JOHN MARSHALL LAW SHOOL,83,1,7,0,91,43,2,5,1,51,15,2,3,0,20,1,0,2,0,3,0,0,0,0,0,2,0,3,19,1,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,53,1,8,1,63,4,0,0,0,4,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,6,32,2,6,0,40,23,1,2,0,26,1,1,1,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,142,5,17,1,165,Georgia,140,Florida,7,Alabama,4,0
AVE MARIA SCHOOL OF LAW,41,0,1,1,43,9,2,1,0,12,5,2,3,0,10,1,0,0,0,1,0,0,0,0,0,5,2,0,35,2,110,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,22,2,0,0,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,9,0,3,0,12,17,1,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,1,3,56,4,5,1,66,Florida,37,New York,5,Pennsylvania,4,0
"BALTIMORE, UNIVERSITY OF",164,0,0,0,164,66,1,13,0,80,24,0,1,0,25,1,0,5,0,6,1,0,0,0,1,1,0,8,28,1,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,67,0,9,0,76,8,0,0,0,8,7,0,1,0,8,6,0,0,0,6,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,49,1,8,0,58,37,0,0,0,37,12,0,1,0,13,2,0,0,0,2,55,0,0,0,55,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,256,1,19,0,276,Maryland,228,District of Columbia,18,Virginia,8,1
BARRY UNIVERSITY,89,0,1,2,92,30,1,5,1,37,6,1,2,0,9,3,1,1,2,7,0,0,0,0,0,5,0,4,33,22,209,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,5,50,0,3,1,54,12,0,1,0,13,1,0,1,0,2,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,12,2,4,2,20,31,1,0,0,32,4,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,2,5,1,0,0,0,1,128,3,9,5,145,Florida,123,California,3,New Jersey,3,0
BAYLOR UNIVERSITY,93,0,5,2,100,6,1,2,1,10,5,0,0,0,5,1,0,0,1,2,0,0,0,0,0,1,4,4,8,2,136,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,0,0,0,1,25,0,4,0,29,14,0,1,1,16,13,0,0,0,13,4,0,0,0,4,5,0,0,0,5,3,0,0,0,3,4,0,0,0,4,2,0,0,0,2,13,1,0,1,15,14,0,1,0,15,2,0,0,0,2,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,105,1,7,4,117,Texas,104,California,2,Missouri,2,0
BELMONT UNIVERSITY,77,0,1,0,78,13,2,1,0,16,5,0,1,1,7,0,0,1,0,1,0,0,0,0,0,2,0,0,8,7,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,28,0,2,0,30,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,22,1,2,1,26,17,1,0,0,18,3,0,0,0,3,1,0,0,0,1,6,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,95,2,4,1,102,Tennessee,92,Texas,4,Georgia,2,0
BOSTON COLLEGE,205,3,1,1,210,24,3,5,1,33,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,4,13,5,273,2,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,0,0,0,13,0,4,0,17,10,0,0,1,11,6,0,0,0,6,11,0,0,0,11,21,0,0,0,21,15,0,0,0,15,50,1,0,0,51,0,0,0,0,0,27,2,2,0,31,31,2,0,0,33,18,1,0,0,19,14,0,0,0,14,15,0,0,0,15,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,232,6,6,2,246,Massachusetts,122,New York,32,Florida,12,8
BOSTON UNIVERSITY,179,6,2,9,196,18,2,0,0,20,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,9,5,0,11,1,246,12,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,20,0,0,0,0,0,13,0,2,0,15,7,0,0,0,7,4,1,0,0,5,8,0,0,0,8,6,0,0,0,6,18,0,0,1,19,61,0,0,0,61,0,0,0,0,0,27,5,0,2,34,30,1,0,3,34,14,0,0,5,19,4,0,0,0,4,6,1,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,199,8,2,11,220,Massachusetts,95,New York,37,District Of Columbia,14,8
BRIGHAM YOUNG UNIVERSITY,105,0,3,1,109,17,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,138,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,1,0,1,0,2,23,0,1,1,25,5,0,0,0,5,3,0,0,0,3,5,0,0,0,5,4,0,0,0,4,5,0,0,0,5,9,0,0,0,9,0,0,0,0,0,15,0,1,1,17,24,0,1,0,25,6,0,0,0,6,8,0,0,0,8,12,0,0,0,12,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,122,0,4,2,128,Utah,61,California,24,Nevada,8,2
BROOKLYN LAW SCHOOL,200,12,6,39,257,44,6,4,1,55,20,0,2,0,22,0,0,0,0,0,1,0,0,0,1,2,4,4,30,7,382,0,0,0,36,36,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,43,12,6,2,63,15,1,0,0,16,4,0,0,0,4,7,1,1,0,9,9,1,0,0,10,8,0,0,0,8,26,0,0,0,26,2,0,0,0,2,74,2,5,1,82,31,0,0,15,46,24,1,0,17,42,6,0,0,3,9,9,0,0,1,10,3,0,0,1,2,1,0,0,0,1,3,0,0,0,3,265,18,12,40,335,NEW YORK,283,NEW JERSEY,12,CALIFORNIA,8,2
CALIFORNIA WESTERN SCHOOL OF LAW,106,1,7,0,114,18,1,5,0,24,2,0,0,1,3,2,0,6,0,8,0,0,0,0,0,6,6,4,42,12,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,54,0,10,0,64,4,0,0,0,4,5,0,0,0,5,1,0,0,0,1,3,0,0,0,3,3,0,0,0,3,2,0,0,0,2,0,0,0,0,0,19,0,6,1,26,20,0,1,0,21,7,1,0,0,8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,128,2,18,1,149,California,135,Hawaii,2,Illinois,2,0
"CALIFORNIA-BERKELEY, UNIVERSITY OF",265,1,0,0,266,9,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,287,20,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,21,1,0,0,0,1,2,0,0,0,2,8,0,0,0,8,3,0,0,0,3,3,0,0,0,3,11,0,0,0,11,16,0,0,0,16,112,0,0,0,112,0,0,0,0,0,7,0,1,0,8,27,1,0,0,28,34,0,0,0,34,40,0,0,0,40,7,0,0,0,7,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,274,1,1,1,277,California,179,New York,27,District of Columbia,19,2
"CALIFORNIA-DAVIS, UNIVERSITY OF",132,1,4,0,137,7,1,0,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,14,1,169,19,0,0,0,19,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,19,0,0,2,21,1,0,0,0,1,24,0,3,0,27,6,0,0,0,6,6,0,0,0,6,4,0,0,0,4,8,0,0,0,8,6,0,0,0,6,11,0,0,0,11,1,0,0,0,1,13,1,0,0,14,33,0,0,0,33,16,1,1,0,18,5,0,0,0,5,3,0,0,0,3,0,0,0,0,0,2,0,0,2,4,1,0,0,0,1,140,2,4,2,151,California,129,District of Columbia,2,Idaho,2,2
"CALIFORNIA-HASTINGS, UNIVERSITY OF",207,31,13,14,265,26,2,2,0,30,6,0,4,1,11,0,0,0,0,0,0,0,0,0,0,7,9,9,71,0,402,2,15,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,6,23,3,0,3,0,6,42,2,2,2,48,21,1,1,1,24,11,1,0,1,13,6,1,1,0,8,8,0,0,0,8,6,0,0,0,6,39,1,0,0,40,3,0,0,3,6,41,3,8,0,52,40,17,0,2,59,8,7,3,2,20,5,0,1,0,6,3,0,0,0,3,0,0,0,0,0,3,0,0,4,7,0,0,0,0,0,239,33,19,15,306,California,276,District of Columbia,7,Washington,4,4
"CALIFORNIA-IRVINE, UNIVERSITY OF",69,0,0,0,69,10,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,10,2,93,10,0,0,0,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,1,0,0,0,1,8,0,0,0,8,5,0,0,0,5,3,0,0,0,3,3,0,0,0,3,4,0,0,0,4,2,0,0,0,2,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,9,0,0,0,9,12,0,0,1,13,10,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,79,0,0,1,80,CALIFORNIA,69,DISTRICT OF COLUMBIA,3,NEVADA,2,0
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",272,6,4,2,284,22,1,1,1,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,17,1,336,31,2,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,33,2,0,0,0,2,31,2,3,1,37,23,0,0,0,23,11,0,0,0,11,8,0,0,0,8,20,0,0,0,20,13,0,0,0,13,85,0,0,0,85,0,0,0,0,0,21,1,1,1,24,23,1,0,0,24,36,1,1,0,38,15,0,0,0,15,6,0,0,0,6,0,0,0,0,2,1,2,0,1,4,0,0,0,0,0,295,7,5,3,310,California,264,District Of Columbia,10,New York,10,0
CAMPBELL UNIVERSITY,92,4,0,1,97,19,1,0,0,20,8,1,0,0,9,0,1,0,0,1,0,0,0,0,0,3,0,0,21,3,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,58,1,0,1,60,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,6,0,0,19,26,0,0,0,26,3,0,0,0,3,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,119,7,0,1,127,North Carolina,116,District Of Columbia,3,Virginia,3,0
CAPITAL UNIVERSITY,62,1,1,6,70,12,2,2,2,18,9,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,2,3,45,10,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,7,31,0,0,0,31,2,0,0,0,2,5,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,6,26,17,1,2,2,22,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,83,4,4,8,99,Ohio,84,New York,2,Florida,1,0
CARDOZO SCHOOL OF LAW,223,7,10,17,257,41,2,3,3,49,11,0,1,0,12,3,0,3,2,8,0,0,0,0,0,5,4,8,48,1,392,1,0,0,13,14,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,15,16,2,0,0,0,2,60,1,10,1,72,15,0,2,0,17,10,0,0,0,10,14,0,0,0,14,7,0,0,0,7,9,0,0,0,9,28,0,0,0,28,0,0,0,0,0,68,6,4,3,81,28,0,0,6,34,20,1,0,10,31,7,0,0,0,7,8,0,0,0,8,0,0,0,0,0,2,1,1,2,6,0,0,0,0,0,278,9,17,22,326,New York,278,New Jersey,13,Florida,8,2
CASE WESTERN RESERVE UNIVERSITY,92,10,0,14,116,19,2,1,5,27,6,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,2,14,0,168,1,0,0,13,14,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,18,19,0,0,0,0,0,31,1,0,1,33,7,0,0,0,7,6,0,0,0,6,3,0,0,0,3,10,2,0,0,12,0,0,0,0,0,8,0,0,0,8,1,0,0,0,1,24,7,0,0,31,17,2,1,11,31,6,1,0,6,13,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,117,14,1,19,151,Ohio,77,District Of Columbia,15,New York,12,1
CATHOLIC UNIVERSITY OF AMERICA,82,5,1,2,90,45,3,4,0,52,8,0,2,1,11,0,0,0,0,0,0,0,0,0,0,1,3,3,18,1,179,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,7,1,2,0,10,6,0,0,0,6,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,8,0,0,0,8,0,0,0,0,0,28,5,4,1,38,51,1,0,1,53,14,0,0,0,14,1,1,0,0,2,15,0,0,0,15,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,135,8,7,3,153,District of Columbia,59,Virginia,38,Maryland,25,1
CHAPMAN UNIVERSITY,66,4,4,3,77,10,2,4,3,19,2,1,1,0,4,0,0,5,0,5,0,0,0,0,0,2,2,2,23,4,138,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,2,28,0,4,4,36,9,1,0,0,10,5,0,0,0,5,7,0,1,0,8,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,17,4,7,1,29,4,0,1,0,5,2,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,78,7,14,6,105,California,98,Illinois,1,Maryland,1,0
CHARLESTON SCHOOL OF LAW,106,2,5,0,113,20,4,2,1,27,14,0,1,1,16,1,0,0,1,2,0,0,0,0,0,7,1,4,25,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,55,1,4,0,60,3,1,1,0,5,0,1,0,1,2,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,6,0,0,0,6,23,2,1,1,27,8,0,1,0,9,2,0,0,0,2,4,0,0,0,4,25,0,0,0,25,0,0,0,0,0,3,1,0,0,4,2,0,1,0,3,141,6,8,3,158,South Carolina,119,Georgia,7,North Carolina,5,0
CHARLOTTE SCHOOL OF LAW,141,47,3,3,194,71,3,3,2,79,23,3,2,1,29,2,0,4,5,11,0,0,0,0,0,7,1,2,75,15,413,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33,22,0,0,0,22,71,6,4,3,84,13,0,0,0,13,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,4,0,0,0,4,88,17,7,8,120,15,2,0,0,17,9,27,0,0,36,1,0,0,0,1,8,0,0,0,8,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,237,53,12,11,313,North Carolina,183,South Carolina,37,New York,10,2
"CHICAGO, UNIVERSITY OF",194,0,0,1,195,8,1,0,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,210,11,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,0,0,12,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4,5,0,0,0,5,6,0,0,0,6,115,0,0,0,115,0,0,0,0,0,11,1,0,1,13,10,0,0,0,10,13,0,0,0,13,33,0,0,0,33,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,203,1,0,2,206,Illinois,64,New York,39,California,30,3
CHICAGO-KENT COLLEGE OF LAW-IIT,152,6,10,4,172,44,2,9,1,56,15,2,0,1,18,1,0,1,0,2,0,0,0,0,0,5,1,3,22,13,292,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,6,0,0,0,6,59,1,10,3,73,27,0,2,0,29,13,0,0,0,13,5,0,0,0,5,11,0,0,0,11,2,0,0,0,2,11,1,0,0,12,0,0,0,0,0,46,3,3,0,52,19,4,1,1,25,5,0,3,2,10,0,1,0,0,1,3,0,1,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,212,10,20,6,248,Illinois,206,California,5,Florida,5,1
