SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
WAYNE STATE UNIVERSITY,90,5,3,0,98,15,2,12,0,29,11,0,6,0,17,0,0,1,0,1,0,0,0,0,0,4,0,0,19,1,169,2,0,0,0,2,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,3,1,1,0,5,3,1,2,0,6,33,1,8,0,42,8,0,1,0,9,0,0,0,0,0,9,0,0,0,9,15,0,1,0,16,8,0,1,0,9,0,0,0,0,0,0,0,0,0,0,22,4,5,0,31,12,0,1,0,13,4,0,2,0,6,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,116,7,22,0,145,Michigan,132,California,4,Texas,2,1
WEST VIRGINIA UNIVERSITY,76,0,2,0,78,24,2,0,0,26,1,0,2,0,3,1,0,1,3,5,2,0,0,0,2,2,0,1,10,2,129,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,2,3,2,0,1,0,3,21,0,0,1,22,10,0,0,0,10,2,0,1,0,3,1,0,0,0,1,7,0,0,0,7,5,0,0,0,5,6,0,0,0,6,0,0,0,0,0,15,0,0,0,15,13,1,1,0,15,3,0,1,0,4,5,0,0,0,5,12,0,0,0,12,0,1,0,0,0,0,0,1,2,3,2,0,0,0,2,104,2,5,3,114,West Virginia,87,District Of Columbia,4,Georgia,3,1
WESTERN NEW ENGLAND UNIVERSITY,37,1,1,0,39,17,0,2,0,19,10,1,1,2,14,1,0,0,0,1,0,0,0,0,0,0,0,0,20,5,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,0,3,0,17,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,11,15,1,0,0,16,2,1,0,0,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,5,0,0,2,7,0,0,0,0,0,65,2,4,2,73,Massachusetts,32,Connecticut,24,New York,9,1
WESTERN STATE COLLEGE OF LAW,49,0,3,3,55,18,2,4,4,28,8,2,2,0,12,1,0,1,1,3,0,0,0,0,0,1,1,3,32,15,150,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,1,0,8,33,0,6,2,41,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,2,4,23,5,1,0,0,6,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0,0,1,1,76,4,10,8,98,California,84,Utah,2,Florida,1,0
WHITTIER LAW SCHOOL,53,2,5,3,63,32,1,8,17,58,7,0,3,0,10,2,0,3,1,6,0,0,0,0,0,3,3,5,39,7,194,0,0,1,0,1,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,14,15,3,0,1,0,4,42,1,7,5,55,8,1,0,1,10,3,0,1,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27,1,7,1,36,4,0,0,0,4,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,10,15,0,0,0,0,0,94,3,19,21,137,California,125,Florida,2,District of Columbia,1,0
WIDENER UNIVERSITY-DELAWARE,106,6,3,4,119,23,2,8,2,35,26,2,4,1,33,6,1,3,1,11,0,0,0,0,0,0,0,3,16,19,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,41,0,8,1,50,12,0,1,0,13,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,30,5,8,4,47,21,1,1,2,25,1,0,0,0,1,1,0,0,0,1,40,4,0,0,44,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,161,11,18,8,198,Pennsylvania,91,Delaware,48,New Jersey,44,0
WIDENER-COMMONWEALTH,61,0,0,1,62,14,1,0,1,16,5,1,2,1,9,3,1,4,4,12,0,0,0,0,0,1,0,0,11,2,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,33,0,0,2,35,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,6,5,20,22,0,0,0,22,3,0,0,0,3,1,0,0,0,1,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,83,3,6,7,99,Pennsylvania,73,New Jersey,7,Maryland,6,0
WILLAMETTE UNIVERSITY,82,3,0,0,85,9,4,1,1,15,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2,5,4,8,1,122,0,1,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,11,0,0,0,11,42,0,0,1,43,7,0,0,0,7,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,6,0,1,1,8,10,1,0,0,11,0,3,0,0,3,0,0,0,0,0,10,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,7,2,2,102,Oregon,73,Washington,11,California,4,1
WILLIAM AND MARY LAW SCHOOL,156,2,3,0,161,21,1,2,2,26,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,3,2,0,16,0,215,19,0,0,0,19,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,1,0,1,0,2,24,0,2,1,27,8,0,0,0,8,6,0,0,0,6,7,0,0,0,7,5,0,0,0,5,5,0,0,0,5,23,0,0,0,23,0,0,0,0,0,19,2,1,2,24,46,1,0,0,47,12,0,0,0,12,12,0,0,0,12,15,0,0,0,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,183,3,5,3,194,Virginia,71,New York,23,District of Columbia,22,0
WILLIAM MITCHELL COLLEGE OF LAW,161,11,4,1,177,45,2,7,4,58,17,1,3,0,21,1,2,2,2,7,0,0,0,0,0,1,1,2,18,3,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,8,41,1,4,0,46,15,0,0,0,15,9,0,1,0,10,7,0,1,0,8,7,0,0,0,7,3,0,0,0,3,3,0,0,0,3,2,1,0,0,3,54,10,6,2,72,22,2,1,3,28,12,0,2,0,14,1,0,0,0,1,38,0,0,1,39,0,0,0,0,0,3,1,1,0,5,1,0,0,0,1,224,16,16,7,263,Minnesota,230,Wisconsin,7,Nevada,3,0
"WISCONSIN, UNIVERSITY OF",157,9,3,3,172,31,2,2,0,35,5,0,0,0,5,2,0,0,1,3,0,0,0,0,0,3,1,0,17,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,42,3,1,1,47,14,1,0,0,15,2,0,0,0,2,5,0,0,0,5,15,1,0,0,16,7,0,0,0,7,13,0,0,0,13,2,0,0,0,2,38,2,2,2,44,28,1,1,0,30,9,1,1,1,12,3,0,0,0,3,8,1,0,0,9,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,195,11,5,4,215,Wisconsin,134,Illinois,19,Minnesota,9,8
"WYOMING, UNIVERSITY OF",35,0,1,0,36,9,0,0,4,13,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,1,15,0,71,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20,0,1,1,22,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,10,4,0,0,1,5,1,0,0,0,1,3,0,0,0,3,5,0,0,0,5,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,46,0,2,4,52,Wyoming,33,Colorado,13,Florida,1,0
YALE UNIVERSITY,167,1,1,0,169,31,2,1,0,34,4,2,1,0,7,0,0,0,0,0,0,0,0,0,0,10,4,3,2,1,230,7,0,0,0,7,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,7,0,0,0,7,6,0,0,0,6,67,0,0,0,67,0,0,0,0,0,15,0,0,0,15,12,0,1,0,13,24,1,0,0,25,59,0,0,0,59,5,0,0,0,5,0,1,0,0,2,4,3,1,0,8,0,0,0,0,0,202,5,3,0,210,New York,75,District of Columbia,29,California,25,10
