SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedLawSchoolFTLT,EmployedLawSchoolFTST,EmployedLawSchoolPTLT,EmployedLawSchoolPTST,EmployedLawSchoolNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"NEBRASKA, UNIVERSITY OF",77,3,3,0,83,13,2,0,0,15,2,0,0,0,2,3,1,0,1,5,0,0,0,0,0,0,0,0,0,0,4,2,0,6,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,8,26,1,0,0,27,4,0,0,0,4,2,0,0,0,2,3,1,0,0,4,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,15,2,1,1,19,23,2,0,0,25,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,95,6,3,1,105,Nebraska,79,Colorado,6,Iowa,4,0
NEW ENGLAND LAW | BOSTON,81,4,0,0,85,46,4,2,6,58,13,0,1,0,14,0,0,0,3,3,0,0,0,0,0,1,0,0,0,1,4,0,0,20,25,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,45,2,2,3,52,9,0,0,0,9,3,0,0,0,3,1,1,0,0,2,4,0,0,0,4,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,37,4,1,6,48,19,0,0,0,19,7,0,0,0,7,0,0,0,0,0,6,0,0,0,6,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,141,8,3,9,161,Massachusetts,114,New York,10,California,5,1
NEW HAMPSHIRE UNIVERSITY OF,47,3,1,3,54,10,0,1,1,12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,16,1,2,2,21,2,0,0,0,2,4,1,0,0,5,6,0,0,0,6,1,0,0,0,1,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,7,1,0,0,8,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,59,3,2,4,68,New Hampshire,44,Massachusetts,6,California,2,1
"NEW MEXICO, UNIVERSITY OF",77,0,5,1,83,8,1,1,3,13,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,11,1,113,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,35,0,3,2,40,3,0,0,0,3,4,0,0,0,4,5,0,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,0,1,1,22,6,0,2,0,8,3,0,0,0,3,7,0,0,0,7,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,86,2,6,4,98,New Mexico,82,Arizona,4,District of Columbia,3,0
NEW YORK LAW SCHOOL,162,5,3,1,171,69,1,5,1,76,8,0,2,0,10,5,0,3,1,9,1,0,0,1,2,0,0,0,0,0,0,0,1,34,1,304,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,49,0,6,1,56,9,0,0,0,9,10,0,0,0,10,1,0,0,0,1,6,0,0,0,6,0,0,0,0,0,17,0,0,0,17,0,0,0,0,0,68,3,7,1,79,47,1,0,1,49,15,0,0,0,15,2,1,0,0,3,19,1,0,0,20,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,245,6,13,4,268,New York,210,New Jersey,39,Connecticut,3,0
NEW YORK UNIVERSITY,431,0,1,0,432,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,30,1,0,0,31,0,0,0,0,0,2,1,1,2,1,485,29,1,0,0,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1,0,0,31,0,0,0,0,0,2,0,1,0,3,4,0,0,0,4,6,0,0,0,6,2,0,0,0,2,13,0,0,0,13,48,0,0,0,48,278,0,0,0,278,0,0,0,0,0,14,0,0,0,14,24,0,0,0,24,55,1,0,0,56,22,0,0,0,22,6,0,0,0,6,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,476,1,1,0,478,New York,360,District of Columbia,31,California,30,15
NORTH CAROLINA CENTRAL UNIVERSITY,63,2,4,2,71,7,13,0,1,21,18,3,2,3,26,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,4,0,3,30,21,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,27,0,5,0,32,4,0,0,2,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,15,14,0,3,32,26,2,1,1,30,5,1,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,92,18,6,6,122,North Carolina,85,Virginia,5,Georgia,4,0
"NORTH CAROLINA, UNIVERSITY OF",155,10,1,1,167,12,9,1,8,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,23,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22,1,0,0,23,9,0,0,0,9,6,0,1,0,7,8,1,0,0,9,8,0,0,0,8,4,0,0,0,4,32,0,0,0,32,2,3,0,0,5,16,10,0,8,34,26,2,0,1,29,9,1,0,0,10,12,0,0,0,12,9,0,0,0,9,0,0,0,0,0,4,1,0,1,6,0,0,0,0,0,167,19,2,10,198,North Carolina,114,District of Columbia,14,Georgia,9,0
"NORTH DAKOTA, UNIVERSITY OF",39,1,2,0,42,4,0,0,0,4,4,3,0,0,7,1,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,2,4,9,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,1,0,17,6,0,0,0,6,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,2,12,9,1,0,0,10,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,48,5,4,2,59,North Dakota,44,Minnesota,7,North Carolina,1,3
NORTHEASTERN UNIVERSITY,99,4,1,3,107,20,2,1,4,27,0,2,0,0,2,0,0,0,2,2,1,0,0,1,2,0,0,0,0,0,5,4,0,24,0,173,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,14,0,1,3,18,9,1,1,0,11,7,0,0,0,7,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,25,6,0,2,33,22,0,0,0,22,21,0,0,2,23,2,0,0,0,2,9,0,0,0,9,0,0,0,0,0,1,1,0,1,3,0,0,0,2,2,120,8,2,10,140,Massachusetts,77,New York,12,California,6,1
